OP_UNIQUE_CARRIER,DEP_DEL15,DEP_DELAY_NEW,n_flights,pct_delay_flight,avg_delay,carrier_name
WN,117598.0,6777271.0,563475,20.870136208349972,12.027633879054084,Southwest Airlines Co.
DL,54318.0,4198505.0,392909,13.824575156079396,10.685693124871154,Delta Air Lines Inc.
AA,76379.0,5618945.0,386534,19.759969368800675,14.536741916623118,American Airlines Inc.
OO,60177.0,5720226.0,335477,17.93774237876218,17.051022871910742,SkyWest Airlines Inc.
UA,47341.0,4069664.0,250940,18.86546584840998,16.217677532477882,United Air Lines Inc.
YX,21225.0,1619145.0,132013,16.077962018892077,12.26504207918917,Republic Airline
MQ,23155.0,1661651.0,130722,17.7131622833188,12.711333975918361,Envoy Air
B6,31168.0,2580180.0,123064,25.326659299226417,20.966163947214458,JetBlue Airways
OH,20928.0,1535412.0,117847,17.758619226624354,13.028859453359017,PSA Airlines Inc.
AS,15877.0,1001539.0,105333,15.073148965661284,9.50831173516372,Alaska Airlines Inc.
9E,17425.0,1454569.0,102984,16.920104093839818,14.124223180299852,Endeavor Air Inc.
YV,15806.0,1387371.0,91466,17.280738197800275,15.168160846653402,Mesa Airlines Inc.
NK,13916.0,1096601.0,80859,17.210205419310157,13.561891688000099,Spirit Air Lines
EV,11670.0,1119144.0,58174,20.060508130780075,19.237872589129164,ExpressJet Airlines LLC
F9,12254.0,909238.0,49444,24.783593560391555,18.389248442682632,Frontier Airlines Inc.
G4,7664.0,567974.0,42598,17.991454997887224,13.333348983520352,Allegiant Air
HA,2956.0,167218.0,33808,8.743492664458117,4.946107430194037,Hawaiian Airlines Inc.
